Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7742693110647182,0.5328467153284672,0.7643979057591623,0.6279569892473118,0.8086286434931675
XGBoost,0.7972338204592901,0.5809090909090909,0.669109947643979,0.621897810218978,0.8133335881071578
LightGBM,0.7972338204592901,0.5831775700934579,0.6534031413612565,0.6162962962962963,0.8131314068792572
Random Forest,0.7870563674321504,0.5756256800870512,0.5539267015706806,0.5645677694770544,0.8089272748117858
